label,is_not_disease,is_pathogen,is_promed_label,parent_label,not_human_disease,is_category,wiki_link,synonym,Non-HM disease label,comments
Acinetobacter baumannii,,TRUE,,,,,http://en.wikipedia.org/wiki/Acinetobacter_baumannii,,,
Adenovirus,,TRUE,,,,,http://en.wikipedia.org/wiki/Adenoviridae,,,
African Horse Sickness,,,,,TRUE,,http://en.wikipedia.org/wiki/African_horse_sickness,,,
African Swine Fever,,TRUE,,Fever,TRUE,,http://en.wikipedia.org/wiki/African_swine_fever_virus,,,
African Trypanosomiasis,,,,,,,http://en.wikipedia.org/wiki/African_trypanosomiasis,,,
Algae,TRUE,,,Environmental,TRUE,?,http://en.wikipedia.org/wiki/Algae,,,NAP
Amebiasis,,,,,,,http://en.wikipedia.org/wiki/Amoebiasis,,,
Amoeba,TRUE,,,,,?,http://en.wikipedia.org/wiki/Amoeba,,,
Anaplasmosis,,,,,,,http://en.wikipedia.org/wiki/Anaplasmosis,,,Recently Added to HM
Animal Die-off,TRUE,,,,TRUE,TRUE,NF,,,
Anisakis,,TRUE,,,,,http://en.wikipedia.org/wiki/Anisakis,,,
Annual Ryegrass Toxicity,,,TRUE,,,,,,,
Anthrax,,,,,,,http://en.wikipedia.org/wiki/Anthrax,,,
Antibiotic resistance,TRUE,,,,,TRUE,http://en.wikipedia.org/wiki/Antibiotic_resistance,,,NAP
Arenavirus,,TRUE,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Arenavirus,,,
Ascariasis,,,,,,,http://en.wikipedia.org/wiki/Ascariasis,,,
Aspergillosis,,,,,,,http://en.wikipedia.org/wiki/Aspergillosis,,,
Avian Cholera,,,,,TRUE,,http://en.wikipedia.org/wiki/Fowl_cholera,,,
Avian Influenza,,,,Influenza,,TRUE,http://en.wikipedia.org/wiki/Avian_influenza,,,
Avian Influenza H5N1,,TRUE,,Avian Influenza,,,http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H5N1,,,
Avian Influenza H5N6,,TRUE,,Avian Influenza,,,,,,
Avian Influenza H7N9,,TRUE,,Avian Influenza,,,http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H7N9,,,
Avian Influenza H5N8,,TRUE,,Avian Influenza,,,http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H5N8,,,Recently added to HealthMap
Avian Influenza H7N2,,TRUE,,Avian Influenza,,,http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H7N2,,,Recently added to HealthMap
Babesiosis,,,,,,,http://en.wikipedia.org/wiki/Babesiosis,,,
Bacterial Meningitis,,,,Meningitis,,,http://en.wikipedia.org/wiki/Meningitis,,,
Bartonella,,TRUE,,,,,http://en.wikipedia.org/wiki/Bartonella,,,
Bite,TRUE,,,,,,http://en.wikipedia.org/wiki/Animal_bite,,,NAP
Blastomycosis,,,,,,,http://en.wikipedia.org/wiki/Blastomycosis,,,
Blotch,,,TRUE,,,,,,,
Blue Ear,,,,,TRUE,,http://en.wikipedia.org/wiki/Porcine_reproductive_and_respiratory_syndrome_virus,,,Porcine reproductive and respiratory syndrome virus
Bluetongue,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Bluetongue_disease,,,
Botulism,,,,,,,http://en.wikipedia.org/wiki/Botulism,,,
Boutonneuse fever,,,,Tick-borne disease,,,http://en.wikipedia.org/wiki/Boutonneuse_fever,"Mediterranean spotted fever, fièvre boutonneuse, Kenya tick typhus, Marseilles fever, African tick-bite fever",TRUE,
Bovine Pleuropneumonia,,,,,TRUE,,http://en.wikipedia.org/wiki/Contagious_bovine_pleuropneumonia,Contagious bovine pleuropneumonia,,
Bovine TB,,,,Tuberculosis,TRUE,,http://en.wikipedia.org/wiki/Mycobacterium_bovis,,,Mycobacterium bovis
Brazilian purpuric fever,,,,,,,http://en.wikipedia.org/wiki/Brazilian_purpuric_fever,,TRUE,
Bronchiolitis,,,,,,,http://en.wikipedia.org/wiki/Bronchiolitis,,TRUE,
Bronchitis/Bronchiolitis,,,,,,,http://en.wikipedia.org/wiki/Bronchitis,,,
Brucellosis,,,,,,,http://en.wikipedia.org/wiki/Brucellosis,,,
BSE,,,,,,,http://en.wikipedia.org/wiki/Bovine_spongiform_encephalopathy,Bovine spongiform encephalopathy,,
Burkholderia cepacia,,TRUE,,,,,http://en.wikipedia.org/wiki/Burkholderia_cepacia_complex,,,
C. difficile,,TRUE,,,,,http://en.wikipedia.org/wiki/Clostridium_difficile_colitis,,,"Clostridium difficile colitis, C. diff diarrhea, pseudomembranous colitis"
Campylobacter,,TRUE,,,,,http://en.wikipedia.org/wiki/Campylobacter,,,
Canine distemper,,,,,TRUE,,http://en.wikipedia.org/wiki/Canine_distemper,,,
Canine Influenza,,,,Influenza,TRUE,,http://en.wikipedia.org/wiki/Canine_influenza,,,
Carbapenem-resistant enterobacteriaceae (CRE),,TRUE,,Antibiotic resistance,,,http://en.wikipedia.org/wiki/Carbapenem_resistant_enterobacteriaceae,,,
Cat Scratch Fever,,,,Fever,,,http://en.wikipedia.org/wiki/Cat_scratch_disease,Cat Scratch Disease,,"Cat Scratch Disease, Cat Scratch Fever is the 3rd studio album by Ted Nugent I found out...."
Chagas,,,,,,,http://en.wikipedia.org/wiki/Chagas_disease,Chagas disease,,Chagas disease
Chicken Pox,,,,,,,http://en.wikipedia.org/wiki/Chickenpox,Chickenpox,,Chickenpox
Chikungunya,,TRUE,,,,,http://en.wikipedia.org/wiki/Chikungunya,,,
Chlamydia,,TRUE,,,,,http://en.wikipedia.org/wiki/Chlamydia_infection,,,
Cholera,,,,,,,http://en.wikipedia.org/wiki/Cholera,,,
Chronic Wasting Disease,,,,,TRUE,,http://en.wikipedia.org/wiki/Chronic_wasting_disease,,,
Chronic/Non-Infectious Disease,TRUE,,,,,,NAP,,,
Citrobacter freundii,,TRUE,,,,,http://en.wikipedia.org/wiki/Citrobacter_freundii,,,
CJD,,,,,,,http://en.wikipedia.org/wiki/Creutzfeldt%E2%80%93Jakob_disease,Creutzfeldt-Jacobs disease,,Creutzfeldt-Jacobs disease
Classical Swine Fever,,TRUE,,Fever,TRUE,,http://en.wikipedia.org/wiki/Classical_swine_fever,"Hog cholera, pig plague",,"Hog cholera, pig plague"
Clostridium perfringens enterotoxin (CPE),,TRUE,,,,,http://en.wikipedia.org/wiki/Clostridium_enterotoxin,,,
Clostridium perfringens,,TRUE,,,,,http://en.wikipedia.org/wiki/Clostridium_perfringens,,,
Cold,,,,,,,http://en.wikipedia.org/wiki/Common_cold,Common cold,,
Colitis,TRUE,,,,,,http://en.wikipedia.org/wiki/Colitis,,,
Conflict,TRUE,,,,TRUE,,NAP,,,
Conjunctivitis,,,,,,,http://en.wikipedia.org/wiki/Conjunctivitis,Pink eye,,
Coronavirus,,TRUE,,,,,http://en.wikipedia.org/wiki/Coronavirus,,,
Crimean-Congo Hemorrhagic Fever,,TRUE,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Crimean-Congo_hemorrhagic_fever,CCHF,,
Cryptococcosis,,TRUE,,,,,http://en.wikipedia.org/wiki/Cryptococcosis,,,
Cryptosporidium,,TRUE,,,,,http://en.wikipedia.org/wiki/Cryptosporidium,,,
Cysticercosis,,,,,,,http://en.wikipedia.org/wiki/Cysticercosis,,,
Cytomegalovirus,,TRUE,,,,,http://en.wikipedia.org/wiki/Cytomegalovirus,,,
Dengue,,TRUE,,Fever,,,http://en.wikipedia.org/wiki/Dengue_fever,Dengue Fever,,
Diarrhea,TRUE,,,,,,http://en.wikipedia.org/wiki/Diarrhea,,,
Diphtheria,,,,,,,http://en.wikipedia.org/wiki/Diphtheria,,,
Diphyllobothriasis,,,,,,,http://en.wikipedia.org/wiki/Diphyllobothriasis,,,
Downy Mildew,,,TRUE,,,,,,,
Dysentery,TRUE,,,,,,http://en.wikipedia.org/wiki/Dysentery,,,
E. coli,,TRUE,,,,,http://en.wikipedia.org/wiki/Escherichia_coli,Escherichia coli,,
Eastern Equine Encephalitis,,TRUE,,Encephalitis,,,http://en.wikipedia.org/wiki/Eastern_equine_encephalitis_virus,"Triple E, EEE, Equine encephalomyelitis, sleeping sickness",,
Ebola,,TRUE,,Hemorrhagic Fever,,,http://en.wikipedia.org/wiki/Ebola_virus_disease,Ebola virus diseae,,
Echinococcosis,,TRUE,,,,,http://en.wikipedia.org/wiki/Echinococcosis,"hydatid disease, hydatidosis, echinococcal disease",,
Elephantiasis,,,,,,,http://en.wikipedia.org/wiki/Elephantiasis,,,
Encephalitis,TRUE,,,,,,http://en.wikipedia.org/wiki/Encephalitis,,,
Enterobacter cloacae,,TRUE,,,,,http://en.wikipedia.org/wiki/Enterobacter_cloacae,,,
Enterococcus,,TRUE,,,,,http://en.wikipedia.org/wiki/Enterococcus,,,
Enterovirus,,TRUE,,,,,http://en.wikipedia.org/wiki/Enterovirus,,,
Enterovirus 68,,TRUE,,,,,http://en.wikipedia.org/wiki/Enterovirus_68,,,Recently Added to HealthMap
Environmental,TRUE,,,,,,NAP,,,
Eosinophilia,TRUE,,,,,,http://en.wikipedia.org/wiki/Eosinophilia,,,
Epizootic Hemorrhagic Disease,,,,,,,http://en.wikipedia.org/wiki/Epizootic_Hemorrhagic_Disease,,,
Equine Herpes Virus,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus,,,There are 5 types. I have provided links to them below
Equine Herpesvirus 1,,TRUE,,Equine Herpes Virus,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus_1,,,
Equine Herpesvirus 2,,TRUE,,Equine Herpes Virus,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus_2,,,
Equine Herpesvirus 3,,TRUE,,Equine Herpes Virus,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus_3,,,
Equine Herpesvirus 4,,TRUE,,Equine Herpes Virus,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus_4,,,
Equine Herpesvirus 5,,TRUE,,Equine Herpes Virus,TRUE,,http://en.wikipedia.org/wiki/Equine_herpesvirus_5,,,
Equine Infectious Anemia,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Equine_infectious_anemia,"EIA, swamp fever",,
Equine Influenza,,TRUE,,Influenza,TRUE,,http://en.wikipedia.org/wiki/Equine_influenza,horse flu,,
Fascioliasis,,TRUE,,,,,http://en.wikipedia.org/wiki/Fasciolosis,"liver rot, fasciolosis",,
Fasciolopsiasis,,TRUE,,,,,http://en.wikipedia.org/wiki/Fasciolopsiasis,,,
Feline immunodeficiency virus,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Feline_immunodeficiency_virus,FIV,,
Feline infectious peritonitis,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Feline_infectious_peritonitis,FIP,,
Feline leukemia virus,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Feline_leukemia_virus,,,
Feline panleukopenia virus,,TRUE,,,TRUE,,http://en.wikipedia.org/wiki/Feline_panleukopenia,,,
Fever,TRUE,,,,,,http://en.wikipedia.org/wiki/Fever,,,
Filariasis,,,,,,,http://en.wikipedia.org/wiki/Filariasis,,,
Flea-borne disease,TRUE,,,,,,NF,,,
Food-related toxin,TRUE,,,,,,NF,,,
Foodborne Illness,TRUE,,,,,,http://en.wikipedia.org/wiki/Foodborne_illness,,,
Foot and Mouth,,,,,,,http://en.wikipedia.org/wiki/Foot-and-mouth_disease,"Foot and Mouth disease, hoof and mouth disease",,
Foot Fungus,,,,,,,http://en.wikipedia.org/wiki/Athlete%27s_foot,,,
Fungal Meningitis,,,,Meningitis,,,http://en.wikipedia.org/wiki/Meningitis,,,"sub heading ""Fungal"""
Gastroenteritis,,,,,,,http://en.wikipedia.org/wiki/Gastroenteritis,,,infectious diarrhea
Giardiasis,,,,,,,http://en.wikipedia.org/wiki/Giardiasis,,,
Glanders,,,,,,,http://en.wikipedia.org/wiki/Glanders,,,
Gnathostoma,,TRUE,,,,,http://en.wikipedia.org/wiki/Gnathostoma,,,
Gnathostomiasis,,,,,,,http://en.wikipedia.org/wiki/Gnathostomiasis,,,
Gonorrhea,,,,,,,http://en.wikipedia.org/wiki/Gonorrhea,,,
Green Mottle Mosaic Virus,,,TRUE,,,,,,,
Guillain Barre,,,,,,,http://en.wikipedia.org/wiki/Guillain-Barré_syndrome,Guillain-Barre syndrome (GBS),,
Guinea Worm,,TRUE,,,,,http://en.wikipedia.org/wiki/Dracunculiasis,Dracunculiasis,,
H. influenzae,,TRUE,,,,,http://en.wikipedia.org/wiki/Haemophilus_influenzae,Haemophilus influenzae,,
H. pylori,,TRUE,,,,,http://en.wikipedia.org/wiki/Helicobacter_pylori,Helicobacter pylori,,
"Hand, Foot and Mouth Disease",,,,,,TRUE,"http://en.wikipedia.org/wiki/Hand,_foot_and_mouth_disease",,,
Hantavirus,,TRUE,,,,,Hantavirushttp://en.wikipedia.org/wiki/Hantavirus,,,
"Helminths, miscellaneous",,TRUE,,,,TRUE,http://en.wikipedia.org/wiki/Helminths,,,Heminths
Hemorrhagic Fever,,,,Fever,,TRUE,http://en.wikipedia.org/wiki/Viral_hemorrhagic_fever,,,
Hepatitis,,,,,,,http://en.wikipedia.org/wiki/Hepatitis,,,
Hepatitis A,,TRUE,,Hepatitis,,,http://en.wikipedia.org/wiki/Hepatitis_A,,,
Hepatitis B,,TRUE,,Hepatitis,,,http://en.wikipedia.org/wiki/Hepatitis_B,,,
Hepatitis C,,TRUE,,Hepatitis,,,http://en.wikipedia.org/wiki/Hepatitis_C,,,
Hepatitis D,,TRUE,,Hepatitis,,,http://en.wikipedia.org/wiki/Hepatitis_D,,,
Hepatitis E,,TRUE,,Hepatitis,,,http://en.wikipedia.org/wiki/Hepatitis_E,,,
Herpes,,,,,,,http://en.wikipedia.org/wiki/Herpes_simplex,Herpes simplex,,
HFM-CoxsackieA,,TRUE,,"Hand, Foot and Mouth Disease",,,"http://en.wikipedia.org/wiki/Hand,_foot_and_mouth_disease",,,"sub heading of Hand, foot and moth disease"
HFM-Enterovirus71,,TRUE,,"Hand, Foot and Mouth Disease",,,"http://en.wikipedia.org/wiki/Hand,_foot_and_mouth_disease",,,"Is the parent HFM or enterovirus?
sub heading of Hand, foot and moth disease"
Histoplasmosis,,,,,,,http://en.wikipedia.org/wiki/Histoplasmosis,"Cve disease, Darling's disease, Ohio valley disease, Reticuloendotheliosis, Spelunker's lung, Caver's disease",,
HIV/AIDS,,TRUE,,,,,http://en.wikipedia.org/wiki/HIV/AIDS,,,
Hookworm,,TRUE,,,,,http://en.wikipedia.org/wiki/Hookworm,,,
Hospital-Related Infection,TRUE,,,,,,http://en.wikipedia.org/wiki/Hospital-acquired_infection,,,Hospital-acquired infection
HPV,,TRUE,,,,,http://en.wikipedia.org/wiki/Human_papillomavirus,Human papillomavirus,,
Human Bocavirus,,TRUE,,,,,http://en.wikipedia.org/wiki/Human_bocavirus,,,
Human T-cell Leukemia virus ,,TRUE,,,,,http://en.wikipedia.org/wiki/Human_T-lymphotropic_virus#HTLV-I,,TRUE,
Human T-cell Leukemia virus type 2,,TRUE,,,,,http://en.wikipedia.org/wiki/Human_T-lymphotropic_virus#HTLV-I,,TRUE,
Hymenolepiasis,,,,,,,http://en.wikipedia.org/wiki/Hymenolepiasis,,,
Influenza,,,,,,,http://en.wikipedia.org/wiki/Influenza,,,flu
Isosporiasis,,,,,,,http://en.wikipedia.org/wiki/Isosporiasis,,,
Japanese Encephalitis,,,,Encephalitis,,,http://en.wikipedia.org/wiki/Japanese_encephalitis,,,
